customer_id,customer_name,city,acquisition_channel,signup_date,total_orders,completed_orders,total_revenue,avg_order_value,first_order_date,last_order_date,most_recent_order
C1174,Triveni Shere,Pune,organic,2024-05-17,6,2,16516.7,8258.35,2024-06-30,2024-06-30,2024-06-30
C0920,Mohammed Thakur,Delhi,social_media,2024-03-08,3,0,0.0,,2024-06-30,2024-06-30,2024-06-30
C1401,Anamika Krishnan,Chennai,paid_search,2023-07-15,6,4,9485.61,2371.4,2023-10-06,2024-06-30,2024-06-30
C0378,Reva Dalal,Kolkata,organic,2022-11-06,6,5,22845.69,4569.14,2023-06-24,2024-06-30,2024-06-30
C1969,Lucky Rajan,Hyderabad,email,2022-02-25,2,2,5872.84,2936.42,2022-03-10,2023-04-23,2023-04-23
C0473,Jai Sen,Kolkata,organic,2023-12-28,6,4,10696.83,2674.21,2023-12-31,2024-06-30,2024-06-30
C1746,Omkaar Peri,Chennai,paid_search,2023-06-08,2,2,5042.47,2521.24,2024-04-05,2024-06-30,2024-06-30
C0067,Hredhaan Sandal,Mumbai,social_media,2023-09-01,6,4,29940.64,7485.16,2024-01-16,2024-06-30,2024-06-30
C1521,Ikshita Vohra,Surat,organic,2023-07-14,3,1,3302.42,3302.42,2024-06-30,2024-06-30,2024-06-30
C0808,Lucky Vyas,Kolkata,paid_search,2022-02-15,5,3,10610.34,3536.78,2022-04-17,2023-11-04,2023-11-04
C1480,Divya Boase,Bengaluru,email,2023-06-01,7,4,16528.41,4132.1,2023-07-11,2024-06-30,2024-06-30
C0163,Vritti Sawhney,Bengaluru,organic,2022-03-24,6,3,18133.33,6044.44,2022-05-28,2024-01-30,2024-01-30
C1270,Sarthak Dalal,Surat,referral,2023-05-02,4,3,14472.0,4824.0,2024-06-30,2024-06-30,2024-06-30
C0304,Ekalinga Chaudhuri,Delhi,organic,2022-05-20,3,2,4796.43,2398.22,2022-07-16,2023-09-18,2023-09-18
C1173,Sanaya Bhatt,Bengaluru,organic,2023-03-31,6,2,10375.48,5187.74,2023-05-09,2024-06-30,2024-06-30
C1426,Ayaan Brar,Bengaluru,paid_search,2022-05-22,5,1,2635.16,2635.16,2022-09-13,2024-04-19,2024-04-19
C0725,Gauri Suri,Delhi,paid_search,2022-10-22,9,4,15593.51,3898.38,2023-03-04,2024-06-30,2024-06-30
C0004,Abeer Dutta,Jaipur,paid_search,2022-05-22,5,4,15971.54,3992.89,2022-08-09,2024-04-11,2024-04-11
C0522,Agastya Chakraborty,Pune,paid_search,2022-01-19,8,3,18317.14,6105.71,2022-03-30,2023-05-16,2023-05-16
C0234,Bachittar Dube,Hyderabad,organic,2022-04-13,3,1,3174.55,3174.55,2022-07-06,2024-03-16,2024-03-16
C1877,Robert Kothari,Surat,email,2024-05-01,7,4,25771.69,6442.92,2024-05-25,2024-06-30,2024-06-30
C0136,Lavanya Khosla,Hyderabad,paid_search,2023-11-23,9,5,15326.75,3065.35,2024-01-13,2024-06-30,2024-06-30
C1871,Rajata Bhattacharyya,Pune,social_media,2023-01-22,8,2,2299.56,1149.78,2023-03-11,2024-06-30,2024-06-30
C0316,Barkha Rai,Ahmedabad,social_media,2024-02-02,6,1,393.0,393.0,2024-06-30,2024-06-30,2024-06-30
C0636,Kabir Bhagat,Jaipur,paid_search,2023-11-28,6,4,20350.91,5087.73,2023-12-30,2024-06-30,2024-06-30
C1386,Lila Khare,Chennai,email,2022-02-16,3,2,5461.84,2730.92,2022-07-02,2023-11-04,2023-11-04
C1786,Bishakha Bains,Surat,paid_search,2023-09-20,5,3,22735.94,7578.65,2023-12-19,2024-06-30,2024-06-30
C1375,Lajita Gala,Ahmedabad,referral,2022-06-12,6,3,12844.9,4281.63,2022-09-19,2024-04-28,2024-04-28
C1126,Hritik Chauhan,Jaipur,email,2024-04-03,7,6,21740.55,3623.43,2024-06-30,2024-06-30,2024-06-30
C1108,Avni Parmar,Mumbai,paid_search,2022-05-01,4,4,11400.68,2850.17,2022-05-09,2024-03-08,2024-03-08
C1461,Manbir Sachdev,Delhi,referral,2024-04-25,5,3,15586.31,5195.44,2024-06-26,2024-06-30,2024-06-30
C1607,Ranveer Banik,Surat,organic,2024-02-27,2,2,11136.03,5568.02,2024-06-30,2024-06-30,2024-06-30
C0446,Jagrati Bala,Mumbai,organic,2022-12-26,7,6,38286.12,6381.02,2023-05-18,2024-05-22,2024-05-22
C1551,Barkha Bassi,Jaipur,paid_search,2024-03-02,7,5,12033.32,2406.66,2024-04-30,2024-06-30,2024-06-30
C1184,Raksha Dey,Kolkata,organic,2022-10-14,3,3,13106.28,4368.76,2023-07-29,2024-06-30,2024-06-30
C0002,Gagan Sami,Kolkata,referral,2023-08-22,3,2,7685.89,3842.95,2024-02-24,2024-06-30,2024-06-30
C1721,Oeshi Dayal,Surat,paid_search,2023-01-22,5,3,14454.66,4818.22,2023-12-07,2024-06-30,2024-06-30
C1348,Garima Srinivas,Hyderabad,paid_search,2023-08-09,7,4,14453.85,3613.46,2023-08-26,2024-06-30,2024-06-30
C1762,Kevin Virk,Hyderabad,referral,2023-12-04,3,2,17365.98,8682.99,2024-04-17,2024-06-30,2024-06-30
C1350,Lucky Agarwal,Ahmedabad,email,2023-10-16,9,8,23634.19,2954.27,2023-12-09,2024-06-30,2024-06-30
C1251,Aditya Yohannan,Kolkata,social_media,2022-02-20,7,7,35508.03,5072.58,2022-08-22,2023-12-27,2023-12-27
C0523,Harrison Kunda,Pune,email,2022-08-08,10,7,51172.72,7310.39,2022-12-20,2024-06-09,2024-06-09
C1418,Meghana Amble,Delhi,email,2022-03-18,8,6,14861.43,2476.91,2022-07-23,2024-01-31,2024-01-31
C1575,Eshana Prabhu,Jaipur,referral,2022-01-12,8,5,25736.07,5147.21,2022-04-06,2024-01-09,2024-01-09
C0894,Jackson Barman,Bengaluru,social_media,2022-11-03,6,2,9683.6,4841.8,2022-12-19,2024-06-30,2024-06-30
C0249,Shivansh Saha,Surat,organic,2024-03-20,12,8,25660.0,3207.5,2024-05-05,2024-06-30,2024-06-30
C0489,Inaya Padmanabhan,Surat,paid_search,2023-08-01,6,3,8836.32,2945.44,2023-11-17,2024-06-30,2024-06-30
C0115,Nilima Nath,Delhi,referral,2022-01-29,7,5,30386.2,6077.24,2022-02-03,2024-01-15,2024-01-15
C1681,Gautam Varghese,Surat,paid_search,2023-03-10,7,4,5578.84,1394.71,2023-06-18,2024-06-30,2024-06-30
C0713,Yatin Kibe,Bengaluru,paid_search,2022-11-18,4,2,11163.36,5581.68,2023-02-17,2024-01-21,2024-01-21
C1404,Rushil Palla,Delhi,social_media,2023-11-09,4,3,22365.55,7455.18,2024-01-27,2024-06-30,2024-06-30
C1998,Mohammed Chakraborty,Bengaluru,organic,2023-02-07,4,2,12480.64,6240.32,2023-03-05,2024-06-30,2024-06-30
C0123,Maanav Rajagopal,Jaipur,social_media,2024-04-05,8,4,9945.35,2486.34,2024-04-16,2024-06-30,2024-06-30
C0351,Triya Kadakia,Kolkata,organic,2024-04-29,6,2,7670.59,3835.3,2024-06-30,2024-06-30,2024-06-30
C1855,Nandini Pall,Chennai,organic,2023-05-08,7,5,31385.96,6277.19,2023-05-25,2024-06-30,2024-06-30
C0490,Libni Bawa,Surat,social_media,2024-06-22,5,3,24417.07,8139.02,2024-06-30,2024-06-30,2024-06-30
C1441,Noah Jha,Pune,organic,2023-11-02,2,0,0.0,,2024-06-30,2024-06-30,2024-06-30
C1088,Neelima Bath,Delhi,organic,2024-02-28,6,1,15789.04,15789.04,2024-04-02,2024-06-30,2024-06-30
C1507,Chatura Chad,Chennai,social_media,2022-06-14,4,2,26641.88,13320.94,2022-08-10,2023-10-12,2023-10-12
C0723,Vihaan Rai,Pune,email,2023-02-09,3,3,13590.9,4530.3,2023-08-10,2024-06-30,2024-06-30
C0963,Dhriti Iyengar,Pune,email,2022-06-04,8,6,27235.17,4539.2,2022-08-28,2024-05-31,2024-05-31
C0910,Udarsh Bala,Bengaluru,social_media,2023-10-12,6,3,9380.51,3126.84,2023-10-14,2024-06-30,2024-06-30
C1162,Dalaja Andra,Jaipur,organic,2023-02-10,4,2,2296.97,1148.49,2023-06-26,2024-06-21,2024-06-21
C0331,Vaishnavi Madan,Delhi,paid_search,2024-02-04,4,4,19457.68,4864.42,2024-04-14,2024-06-30,2024-06-30
C1574,Yashica Sawhney,Pune,email,2024-06-27,5,3,7772.57,2590.86,2024-06-30,2024-06-30,2024-06-30
C1389,Januja Pandit,Pune,email,2022-05-18,10,9,29618.84,3290.98,2022-06-15,2024-04-28,2024-04-28
C0914,Aashi Gaba,Bengaluru,paid_search,2022-03-31,2,2,2389.49,1194.74,2023-04-01,2024-02-05,2024-02-05
C1048,Owen Thakur,Kolkata,organic,2022-01-01,3,1,6839.6,6839.6,2022-02-28,2023-04-18,2023-04-18
C0426,Radhika De,Chennai,paid_search,2023-11-13,8,7,35670.48,5095.78,2023-11-30,2024-06-30,2024-06-30
C0059,Charita Tripathi,Mumbai,social_media,2022-08-11,2,0,0.0,,2022-12-12,2024-01-20,2024-01-20
C0100,Vritti Chauhan,Jaipur,referral,2022-12-29,2,1,2821.13,2821.13,2023-04-24,2023-10-22,2023-10-22
C1629,Max Chandran,Surat,social_media,2023-01-10,3,1,2604.2,2604.2,2023-04-29,2024-06-30,2024-06-30
C0421,Abeer Rout,Jaipur,social_media,2023-10-29,4,1,3248.33,3248.33,2024-02-06,2024-06-30,2024-06-30
C1600,Vincent Mallick,Chennai,paid_search,2023-01-03,5,1,19291.15,19291.15,2023-04-01,2024-06-30,2024-06-30
C0254,Lohit Chatterjee,Hyderabad,social_media,2022-04-12,2,2,7316.17,3658.09,2023-08-03,2023-08-25,2023-08-25
C0237,Adweta Lad,Mumbai,social_media,2022-02-16,4,2,7702.77,3851.39,2023-02-27,2023-10-28,2023-10-28
C1219,Xavier Sridhar,Surat,referral,2023-07-30,6,2,7676.16,3838.08,2023-10-08,2024-06-30,2024-06-30
C0730,Samaksh Devi,Hyderabad,organic,2023-08-24,4,1,18591.45,18591.45,2023-09-01,2024-06-30,2024-06-30
C0802,Mitesh Mani,Delhi,organic,2024-06-15,7,6,15239.23,2539.87,2024-06-30,2024-06-30,2024-06-30
