customer_id,customer_name,city,acquisition_channel,segment,recency_days,frequency,total_revenue,r_score,f_score,m_score,rfm_score
C1174,Triveni Shere,Pune,organic,At Risk,1,2,16516.7,4.0,2.0,4.0,10.0
C1401,Anamika Krishnan,Chennai,paid_search,Champions,1,4,9485.61,4.0,4.0,3.0,11.0
C0378,Reva Dalal,Kolkata,organic,Champions,1,5,22845.69,4.0,5.0,5.0,14.0
C1969,Lucky Rajan,Hyderabad,email,Lost,435,2,5872.84,1.0,2.0,2.0,5.0
C0473,Jai Sen,Kolkata,organic,Champions,1,4,10696.83,4.0,4.0,3.0,11.0
C1746,Omkaar Peri,Chennai,paid_search,At Risk,1,2,5042.47,4.0,2.0,2.0,8.0
C0067,Hredhaan Sandal,Mumbai,social_media,Champions,1,4,29940.64,4.0,4.0,5.0,13.0
C1521,Ikshita Vohra,Surat,organic,At Risk,1,1,3302.42,4.0,1.0,1.0,6.0
C0808,Lucky Vyas,Kolkata,paid_search,Loyal,240,3,10610.34,1.0,3.0,3.0,7.0
C1480,Divya Boase,Bengaluru,email,Champions,1,4,16528.41,4.0,4.0,4.0,12.0
C0163,Vritti Sawhney,Bengaluru,organic,Loyal,153,3,18133.33,1.0,3.0,4.0,8.0
C1270,Sarthak Dalal,Surat,referral,Champions,1,3,14472.0,4.0,3.0,4.0,11.0
C0304,Ekalinga Chaudhuri,Delhi,organic,Lost,287,2,4796.43,1.0,2.0,2.0,5.0
C1173,Sanaya Bhatt,Bengaluru,organic,At Risk,1,2,10375.48,4.0,2.0,3.0,9.0
C1426,Ayaan Brar,Bengaluru,paid_search,Lost,73,1,2635.16,2.0,1.0,1.0,4.0
C0725,Gauri Suri,Delhi,paid_search,Champions,1,4,15593.51,4.0,4.0,4.0,12.0
C0004,Abeer Dutta,Jaipur,paid_search,Loyal,81,4,15971.54,2.0,4.0,4.0,10.0
C0522,Agastya Chakraborty,Pune,paid_search,Loyal,412,3,18317.14,1.0,3.0,4.0,8.0
C0234,Bachittar Dube,Hyderabad,organic,Lost,107,1,3174.55,2.0,1.0,1.0,4.0
C1877,Robert Kothari,Surat,email,Champions,1,4,25771.69,4.0,4.0,5.0,13.0
C0136,Lavanya Khosla,Hyderabad,paid_search,Champions,1,5,15326.75,4.0,5.0,4.0,13.0
C1871,Rajata Bhattacharyya,Pune,social_media,At Risk,1,2,2299.56,4.0,2.0,1.0,7.0
C0316,Barkha Rai,Ahmedabad,social_media,At Risk,1,1,393.0,4.0,1.0,1.0,6.0
C0636,Kabir Bhagat,Jaipur,paid_search,Champions,1,4,20350.91,4.0,4.0,5.0,13.0
C1386,Lila Khare,Chennai,email,Lost,240,2,5461.84,1.0,2.0,2.0,5.0
C1786,Bishakha Bains,Surat,paid_search,Champions,1,3,22735.94,4.0,3.0,5.0,12.0
C1375,Lajita Gala,Ahmedabad,referral,Loyal,64,3,12844.9,2.0,3.0,3.0,8.0
C1126,Hritik Chauhan,Jaipur,email,Champions,1,6,21740.55,4.0,5.0,5.0,14.0
C1108,Avni Parmar,Mumbai,paid_search,Loyal,115,4,11400.68,2.0,4.0,3.0,9.0
C1461,Manbir Sachdev,Delhi,referral,Champions,1,3,15586.31,4.0,3.0,4.0,11.0
C1607,Ranveer Banik,Surat,organic,At Risk,1,2,11136.03,4.0,2.0,3.0,9.0
C0446,Jagrati Bala,Mumbai,organic,Loyal,40,6,38286.12,2.0,5.0,5.0,12.0
